Load_name,Bus_name,Phase,P,Q
AFN86Q_417697237-L_C,1031430758,3,10,2
AFN87Q_417698251-L_C,1031472205,3,10,2
AFN88Q_417752022-L_C,1031573790,3,10,2
AFN91Q_417751134-L_C,1031524630,3,10,2
AFN69Q_417796401-L_C,1031798561,3,10,2
AFN08Q_417795170-L_A,1031747002,1,6,1.2
AHA00_417698418-L_A,1031473377,1,19.9,4.1
6AG97_417829924-L_A,1032003167,1,39.9,8.1
BC272Q_417830342-L_A,1032006093,1,39.9,8.1
5AU82_417889947-L_A,1032230099,1,39.9,8.1
12PN10_417831199-L_C,1031322601,3,39.9,8.1
12PN11_417830845-L_C,1032052553,3,39.9,8.1
12PN12_417891139-L_C,1032311440,3,39.9,8.1
136926_417830236-L_C,1032005350,3,39.9,8.1
AHA19Q_417795348-L_A,1031748250,1,6,1.2
AHA21Q_417697771-L_B,1031460259,2,10,2
AHA26Q_417794501-L_B,1031725147,2,15,3
AHA28_417752608-L_B,1031599358,2,10,2
AHA31Q_417796435-L_B,1031798799,2,15,3
AHA34Q_417698434-L_B,1031473491,2,10,2
AHA42Q_417796220-L_B,1031797297,2,10,2
AHA44Q_417698602-L_B,1031509016,2,10,2
AHA46Q_417752727-L_B,1031600195,2,10,2
AHA48Q_417698431-L_B,1031473465,2,10,2
AHA49Q_417696898-L_B,1031428384,2,10,2
AHA50Q_417796366-L_B,1031798318,2,10,2
AHA63_417751999-L_B,1031573625,2,15,3
AHA66Q_417751881-L_B,1031564216,2,15,3
AHA68Q_417698351-L_B,1031472908,2,10,2
AHA72Q_417696748-L_B,1031324281,2,19.9,4.1
AHA76Q_417795303-L_B,1031747935,2,19.9,4.1
AHA56Q_417752512-L_B,1031577216,2,10,2
AHA57Q_417750492-L_B,1031511550,2,10,2
AHA59Q_417697523-L_B,1031458526,2,15,3
AHA61Q_417753003-L_B,1031602125,2,15,3
AHA23Q_417697516-L_B,1031458475,2,6,1.2
AHA82Q_417754481-L_A,1031681173,1,15,3
12XE48_417794576-L_A,1031725670,1,15,3
AHA85_417796395-L_A,1031798517,1,19.9,4.1
AHA86_417754095-L_A,1031652712,1,15,7.2
AHA89Q_417752269-L_B,1031575515,2,15,3
AHB62_417890920-L_A,1032309905,1,66.6,13.5
AHB60_417831493-L_A,1032074263,1,66.6,13.5
AHB57_417890882-L_A,1032309642,1,39.9,8.1
AHB55Q_417829327-L_A,1031964633,1,39.9,8.1
AHB65_417889755-L_A,1032228752,1,19.9,4.1
AHB48_417829816-L_C,1031968057,3,39.9,8.1
AHB50Q_417888656-L_C,1032148059,3,39.9,8.1
AHB52_577491474-L_A,1034183176,1,10,4.8
AHB66_417698265-L_B,1031472308,2,4,1.9
13N223_417696986-L_A,1031428998,1,6,2.9
13N223_417696986-L_B,1031428998,2,6,2.9
13N223_417696986-L_C,1031428998,3,6,2.9
AHB75_417889176-L_A,1032181759,1,66.6,13.5
AHB71_417830240-L_A,1032005379,1,66.6,13.5
AHB81_417888383-L_A,1032146151,1,39.9,8.1
AHB79_417796577-L_A,1031799795,1,19.9,9.7
AHB88Q_417796325-L_C,1031798029,3,19.9,4.1
AHB90_417751172-L_C,1031524896,3,10,2
AHB92_417698157-L_C,1031471549,3,19.9,4.1
AHB96_417698786-L_C,1031510307,3,15,3
AHB97_417794967-L_C,1031745583,3,15,3
AHC31_417750962-L_B,1031523431,2,4,0.8
AHC32_417697360-L_B,1031431619,2,10,2
AHC40_417796759-L_A,1031835422,1,6,2.9
AHC41_417793730-L_A,1031706866,1,6,2.9
AHC42_417752641-L_A,1031599589,1,19.9,4.1
AHC62_417890255-L_A,1032270896,1,39.9,8.1
AHC53_417795572-L_A,1031779874,1,10,4.8
PG62Q_417796408-L_B,1031798611,2,19.9,4.1
AHC58_417793602-L_B,1031684501,2,19.9,4.1
AHC65_417794975-L_C,1031745640,3,6,1.2
AHC67_417753216-L_C,1031629378,3,15,3
AHC72_417796494-L_C,1031799212,3,19.9,4.1
AHC75_417696735-L_C,1031324185,3,10,2
AHC78_417795325-L_C,1031748092,3,15,3
15FD30_417793948-L_A,1031708394,1,6,2.9
15FD30_417793948-L_B,1031708394,2,6,2.9
15FD30_417793948-L_C,1031708394,3,6,2.9
RV39Q_417793601-L_A,1031684494,1,6,2.9
RV39Q_417793601-L_B,1031684494,2,6,2.9
RV39Q_417793601-L_C,1031684494,3,6,2.9
RV23Q_417828966-L_A,1031923460,1,1.2,0.6
RX12Q_417752213-L_A,1031575123,1,19.9,9.7
